alt,lat,lon,sats,signal,speed,ts,veh_id,dev_id,date,task_id,next_task_id,line_id,route_id,driver_id,car_no,course_no,pt,primary_veh_id,prev_stop_id,prev_stop_dev,cur_stop_id,cur_stop_dev,seg_fraction,status,in_depot
591.0,42.65154199039222,23.35689923674795,9,30,0.0,1738073409968,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,1.0,0.098,on task,False
592.6,42.65147557369237,23.35679947274946,8,30,0.0,1738073414968,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,1.0,0.098,on task,False
592.5,42.65127547144638,23.356758571962946,8,31,0.0,1738073419968,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,1.0,0.1,on task,False
592.6,42.65113087929578,23.357004551261856,9,31,0.0,1738073424968,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,1.0,0.1,on task,False
598.8,42.65093096956125,23.35802136091207,8,31,0.0,1738073454975,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,1.0,0.312,on task,False
598.8,42.65096020592901,23.358117320467063,8,31,0.0,1738073459969,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,1.0,0.312,on task,False
598.4,42.65131786337432,23.35832572122197,7,31,0.0,1738073464974,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,2.0,0.311,on task,False
598.4,42.651077483234495,23.35824952632945,7,31,0.0,1738073469968,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,2.0,0.311,on task,False
598.4,42.65092389458097,23.358328929146463,7,31,0.0,1738073474969,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,2.0,0.311,on task,False
598.5,42.65135124746616,23.35807456413205,7,31,0.0,1738073479969,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,2.0,0.311,on task,False
598.5,42.65090032234276,23.35807490987916,7,31,0.0,1738073484968,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,2.0,0.311,on task,False
598.5,42.651321744968634,23.358248603565105,7,31,0.0,1738073489968,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,2.0,0.311,on task,False
598.5,42.65098622782181,23.358174928971813,7,31,0.0,1738073494974,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,2.0,0.311,on task,False
598.5,42.65122005587177,23.35798745461821,7,31,0.0,1738073499968,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,2.0,0.311,on task,False
598.5,42.651051730606866,23.358475145943025,8,31,0.0,1738073504969,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,2.0,0.311,on task,False
598.5,42.65135899056396,23.358384766426305,7,31,0.0,1738073509969,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,2.0,0.311,on task,False
598.5,42.65102521609217,23.35841007613202,7,31,0.0,1738073514975,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,2.0,0.311,on task,False
598.9,42.65120539534453,23.358451761022305,8,31,5.0,1738073519969,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,2.0,0.313,on task,False
598.3,42.65092539420287,23.358357608847076,9,31,20.2,1738073524968,A2317,0040EDF8,2025-01-28,9765220.0,9765221,A58,A97,11011,4,17.0,1_1,A2317,A0801,2.0,A0614,3.0,0.352,on task,False
